unique_id1,PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN,PCP_TN,PCP_SM,PCP_LR,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5,result
P29597,0.153,0.117,0.73,0.205,0.503,0.427,0.069,0.085,0.117,0.153,0.73,0.495,0.244,0.341,0.104,0.047,0.474,0.249,0.276,0.441,0.29,0.266,0.236,0.474,0.526,0.095,-0.401,-0.228,-0.261,0.16,1
P06748,0.156,0.221,0.622,0.19,0.401,0.344,0.058,0.044,0.221,0.156,0.622,0.384,0.245,0.449,0.122,0.037,0.463,0.184,0.354,0.327,0.466,0.238,0.224,0.524,0.476,0.835,-0.365,-0.123,-0.639,0.257,1
O43187,0.123,0.126,0.75,0.235,0.485,0.414,0.067,0.069,0.126,0.123,0.75,0.507,0.221,0.363,0.138,0.054,0.454,0.248,0.298,0.427,0.314,0.266,0.259,0.514,0.486,0.156,-0.47,-0.161,-0.43,0.186,1
Q9NWZ8,0.182,0.149,0.669,0.285,0.36,0.281,0.054,0.116,0.149,0.182,0.669,0.401,0.26,0.36,0.128,0.05,0.537,0.223,0.24,0.298,0.343,0.326,0.236,0.438,0.562,0.618,0.115,-0.152,-0.201,0.133,1
Q14681,0.122,0.137,0.741,0.194,0.51,0.46,0.076,0.061,0.137,0.122,0.741,0.445,0.236,0.411,0.103,0.038,0.43,0.228,0.342,0.433,0.327,0.24,0.27,0.532,0.468,0.411,-0.66,-0.233,-0.522,0.123,0
Q6R2W3,0.155,0.138,0.706,0.244,0.414,0.34,0.037,0.076,0.138,0.155,0.706,0.454,0.241,0.368,0.145,0.048,0.481,0.258,0.261,0.38,0.354,0.257,0.208,0.438,0.562,0.269,-0.286,-0.308,-0.467,0.096,0
Q6P2I3,0.124,0.099,0.777,0.178,0.564,0.475,0.076,0.08,0.099,0.124,0.777,0.57,0.236,0.322,0.102,0.038,0.401,0.325,0.274,0.487,0.318,0.229,0.201,0.548,0.452,-0.173,-0.624,-0.3,-0.343,0.164,0
Q13485,0.134,0.092,0.774,0.255,0.484,0.428,0.082,0.071,0.092,0.134,0.774,0.495,0.25,0.362,0.139,0.043,0.417,0.266,0.317,0.409,0.303,0.326,0.266,0.547,0.453,0.225,-0.51,-0.075,-0.276,0.2,1
Q09472,0.115,0.074,0.812,0.287,0.474,0.402,0.118,0.042,0.074,0.115,0.812,0.473,0.283,0.394,0.132,0.07,0.457,0.189,0.354,0.329,0.402,0.345,0.238,0.533,0.467,0.318,-0.439,-0.087,-0.321,0.258,1
Q6UWT4,0.138,0.184,0.678,0.161,0.494,0.391,0.069,0.08,0.184,0.138,0.678,0.494,0.23,0.379,0.138,0.046,0.391,0.241,0.368,0.402,0.368,0.264,0.195,0.529,0.471,0.116,-0.404,-0.079,-0.532,0.261,0
Q15399,0.128,0.101,0.771,0.256,0.453,0.363,0.034,0.098,0.101,0.128,0.771,0.501,0.225,0.333,0.16,0.045,0.417,0.309,0.274,0.422,0.307,0.277,0.188,0.434,0.566,-0.189,-0.303,-0.271,-0.438,0.058,1
Q5JRM2,0.177,0.086,0.737,0.307,0.374,0.33,0.061,0.058,0.086,0.177,0.737,0.427,0.294,0.36,0.211,0.05,0.418,0.233,0.349,0.324,0.352,0.346,0.274,0.537,0.463,0.48,-0.36,-0.172,-0.37,0.174,0
O60573,0.171,0.131,0.698,0.212,0.424,0.327,0.053,0.094,0.131,0.171,0.698,0.424,0.286,0.376,0.127,0.037,0.433,0.253,0.314,0.351,0.371,0.257,0.188,0.465,0.535,0.453,-0.112,-0.306,-0.303,0.06,1
Q5T0D9,0.121,0.11,0.768,0.202,0.529,0.452,0.062,0.085,0.11,0.121,0.768,0.504,0.221,0.368,0.114,0.026,0.434,0.283,0.283,0.463,0.312,0.224,0.232,0.493,0.507,0.026,-0.557,-0.367,-0.449,0.149,0
O43318,0.134,0.116,0.751,0.277,0.434,0.366,0.059,0.059,0.116,0.134,0.751,0.459,0.233,0.401,0.17,0.056,0.447,0.246,0.307,0.361,0.337,0.312,0.259,0.513,0.487,0.386,-0.469,-0.21,-0.446,0.153,1
Q01628,0.09,0.06,0.85,0.218,0.579,0.474,0.075,0.098,0.06,0.09,0.85,0.617,0.218,0.278,0.135,0.06,0.368,0.361,0.271,0.489,0.248,0.316,0.226,0.541,0.459,-0.508,-0.634,-0.119,-0.282,0.104,1
P26715,0.15,0.094,0.755,0.27,0.408,0.356,0.043,0.064,0.094,0.15,0.755,0.451,0.27,0.339,0.155,0.056,0.416,0.279,0.305,0.386,0.335,0.283,0.236,0.481,0.519,0.271,-0.335,-0.202,-0.38,0.02,1
Q6QEF8,0.138,0.136,0.727,0.199,0.494,0.424,0.072,0.07,0.136,0.138,0.727,0.504,0.244,0.358,0.125,0.038,0.413,0.275,0.311,0.417,0.322,0.265,0.214,0.523,0.477,0.166,-0.43,-0.235,-0.401,0.192,0
O15393,0.1,0.071,0.829,0.276,0.488,0.413,0.069,0.1,0.071,0.1,0.829,0.496,0.234,0.343,0.14,0.067,0.333,0.317,0.35,0.441,0.299,0.299,0.289,0.589,0.411,0.1,-0.537,0.039,-0.328,-0.016,1
Q2VIR3,0.146,0.11,0.744,0.186,0.528,0.481,0.051,0.044,0.11,0.146,0.744,0.513,0.227,0.35,0.112,0.04,0.426,0.297,0.278,0.479,0.299,0.222,0.237,0.513,0.487,0.067,-0.778,-0.419,-0.447,0.164,0
P01185,0.098,0.11,0.793,0.256,0.512,0.445,0.085,0.067,0.11,0.098,0.793,0.524,0.207,0.36,0.085,0.122,0.445,0.226,0.329,0.512,0.287,0.213,0.396,0.598,0.402,0.419,-0.742,0.301,-0.392,0.044,1
Q8NFH3,0.118,0.118,0.763,0.266,0.453,0.374,0.05,0.079,0.118,0.118,0.763,0.479,0.213,0.418,0.182,0.034,0.368,0.295,0.337,0.411,0.284,0.313,0.247,0.553,0.447,0.291,-0.461,-0.075,-0.417,0.111,1
Q2PZI1,0.129,0.074,0.797,0.207,0.561,0.44,0.047,0.129,0.074,0.129,0.797,0.587,0.204,0.267,0.116,0.061,0.428,0.357,0.215,0.501,0.225,0.273,0.203,0.434,0.566,-0.602,-0.443,-0.325,-0.203,0.049,0
Q2MJR0,0.132,0.085,0.783,0.227,0.551,0.507,0.115,0.054,0.085,0.132,0.783,0.537,0.251,0.349,0.139,0.056,0.446,0.198,0.356,0.478,0.244,0.305,0.395,0.632,0.368,0.358,-0.755,0.097,-0.216,0.321,0
Q5HYI7,0.119,0.103,0.779,0.221,0.51,0.429,0.071,0.096,0.103,0.119,0.779,0.516,0.237,0.333,0.125,0.029,0.458,0.244,0.298,0.436,0.33,0.256,0.212,0.478,0.522,-0.143,-0.369,-0.256,-0.424,0.212,0
Q12769,0.111,0.118,0.771,0.24,0.493,0.419,0.044,0.087,0.118,0.111,0.771,0.522,0.193,0.342,0.12,0.054,0.469,0.283,0.249,0.453,0.288,0.254,0.221,0.464,0.536,-0.115,-0.464,-0.255,-0.455,0.111,1
Q96P20,0.146,0.129,0.725,0.237,0.453,0.371,0.032,0.082,0.129,0.146,0.725,0.484,0.212,0.35,0.124,0.069,0.488,0.259,0.253,0.438,0.307,0.236,0.226,0.434,0.566,0.063,-0.381,-0.252,-0.411,0.055,1
P20701,0.113,0.116,0.771,0.232,0.507,0.428,0.055,0.085,0.116,0.113,0.771,0.485,0.199,0.391,0.135,0.04,0.409,0.276,0.315,0.45,0.297,0.265,0.25,0.507,0.493,0.055,-0.588,-0.196,-0.49,0.147,1
Q15436,0.116,0.098,0.786,0.254,0.499,0.403,0.065,0.095,0.098,0.116,0.786,0.512,0.214,0.363,0.129,0.055,0.434,0.284,0.282,0.421,0.305,0.284,0.222,0.48,0.52,-0.04,-0.418,-0.224,-0.369,0.142,1
Q2VPB7,0.101,0.099,0.8,0.171,0.622,0.575,0.091,0.052,0.099,0.101,0.8,0.599,0.199,0.312,0.083,0.033,0.563,0.172,0.265,0.546,0.261,0.222,0.285,0.51,0.49,-0.323,-0.766,-0.232,-0.37,0.417,0
O15504,0.099,0.073,0.827,0.281,0.487,0.385,0.073,0.104,0.073,0.099,0.827,0.444,0.232,0.433,0.215,0.017,0.343,0.229,0.428,0.411,0.305,0.319,0.355,0.608,0.392,0.401,-0.549,0.069,-0.482,0.212,1
Q9Y4K3,0.149,0.128,0.722,0.255,0.427,0.343,0.054,0.069,0.128,0.149,0.722,0.487,0.243,0.349,0.113,0.096,0.467,0.278,0.255,0.393,0.328,0.274,0.224,0.46,0.54,0.286,-0.315,-0.102,-0.321,0.017,1
Q6P4F7,0.171,0.116,0.713,0.245,0.408,0.351,0.055,0.052,0.116,0.171,0.713,0.422,0.285,0.383,0.175,0.038,0.445,0.224,0.331,0.352,0.357,0.292,0.241,0.504,0.496,0.509,-0.386,-0.281,-0.438,0.139,0
Q9UKV8,0.165,0.093,0.742,0.239,0.477,0.4,0.068,0.085,0.093,0.165,0.742,0.504,0.258,0.335,0.114,0.05,0.438,0.311,0.251,0.411,0.314,0.276,0.201,0.484,0.516,0.104,-0.404,-0.344,-0.246,0.132,1
Q5TEC6,0.243,0.081,0.676,0.206,0.463,0.412,0.044,0.051,0.081,0.243,0.676,0.493,0.294,0.309,0.118,0.029,0.596,0.235,0.169,0.404,0.287,0.221,0.228,0.426,0.574,0.392,-0.419,-0.816,-0.144,0.263,0
Q17RB0,0.133,0.15,0.717,0.159,0.531,0.389,0.08,0.133,0.15,0.133,0.717,0.549,0.239,0.327,0.106,0.035,0.442,0.292,0.265,0.416,0.327,0.248,0.15,0.442,0.558,-0.189,-0.119,-0.309,-0.336,0.169,0
Q9C0D3,0.138,0.11,0.751,0.222,0.487,0.406,0.036,0.066,0.11,0.138,0.751,0.531,0.218,0.333,0.126,0.052,0.503,0.262,0.235,0.449,0.297,0.242,0.208,0.453,0.547,-0.04,-0.447,-0.325,-0.384,0.156,1
Q8WXD5,0.132,0.156,0.713,0.222,0.443,0.371,0.048,0.066,0.156,0.132,0.713,0.461,0.228,0.395,0.144,0.054,0.425,0.281,0.293,0.377,0.347,0.287,0.204,0.497,0.503,0.293,-0.458,-0.243,-0.49,0.036,1
Q15036,0.143,0.128,0.73,0.249,0.46,0.391,0.043,0.074,0.128,0.143,0.73,0.449,0.206,0.398,0.151,0.034,0.474,0.238,0.287,0.404,0.298,0.262,0.236,0.479,0.521,0.229,-0.448,-0.402,-0.499,0.191,1
P37198,0.067,0.075,0.858,0.322,0.502,0.435,0.065,0.063,0.075,0.067,0.858,0.567,0.167,0.481,0.259,0.015,0.391,0.282,0.328,0.433,0.262,0.349,0.341,0.648,0.352,0.3,-1.011,-0.097,-0.647,0.277,1
Q5T215,0.166,0.133,0.702,0.21,0.453,0.392,0.028,0.088,0.133,0.166,0.702,0.464,0.232,0.32,0.099,0.061,0.448,0.298,0.254,0.442,0.304,0.221,0.221,0.453,0.547,0.135,-0.428,-0.325,-0.414,0.012,0
P40337,0.131,0.192,0.676,0.16,0.474,0.423,0.089,0.066,0.192,0.131,0.676,0.432,0.263,0.399,0.085,0.023,0.465,0.216,0.319,0.38,0.376,0.239,0.192,0.488,0.512,0.461,-0.32,-0.262,-0.556,0.147,1
Q99567,0.139,0.142,0.719,0.215,0.478,0.418,0.072,0.07,0.142,0.139,0.719,0.499,0.238,0.352,0.12,0.043,0.474,0.255,0.271,0.417,0.343,0.266,0.208,0.459,0.541,0.04,-0.42,-0.252,-0.445,0.193,1
O95992,0.132,0.055,0.812,0.228,0.559,0.408,0.07,0.158,0.055,0.132,0.812,0.607,0.228,0.257,0.129,0.055,0.412,0.346,0.243,0.5,0.202,0.338,0.188,0.445,0.555,-0.745,-0.175,-0.019,0.063,0.085,1
P05161,0.115,0.097,0.788,0.236,0.527,0.461,0.048,0.055,0.097,0.115,0.788,0.479,0.188,0.424,0.145,0.03,0.455,0.23,0.315,0.461,0.291,0.248,0.248,0.515,0.485,0.058,-0.771,-0.411,-0.519,0.215,1
Q6UW32,0.127,0.073,0.8,0.309,0.464,0.364,0.073,0.091,0.073,0.127,0.8,0.609,0.227,0.264,0.109,0.164,0.364,0.382,0.255,0.482,0.245,0.273,0.291,0.582,0.418,-0.004,-0.448,0.243,-0.119,-0.121,0
Q3BBV0,0.147,0.204,0.649,0.245,0.366,0.323,0.053,0.053,0.204,0.147,0.649,0.386,0.237,0.433,0.114,0.041,0.537,0.188,0.275,0.326,0.447,0.226,0.199,0.436,0.564,0.684,-0.212,-0.262,-0.683,0.175,0
Q66LE6,0.163,0.15,0.687,0.216,0.415,0.325,0.035,0.099,0.15,0.163,0.687,0.435,0.254,0.36,0.141,0.044,0.404,0.285,0.311,0.38,0.322,0.263,0.223,0.488,0.512,0.431,-0.17,-0.165,-0.385,0.039,0
P01569,0.122,0.122,0.757,0.265,0.455,0.333,0.032,0.095,0.122,0.122,0.757,0.519,0.19,0.354,0.138,0.085,0.492,0.28,0.228,0.402,0.307,0.265,0.19,0.423,0.577,-0.07,-0.277,-0.279,-0.422,0.056,1
Q14164,0.149,0.112,0.739,0.225,0.48,0.42,0.043,0.07,0.112,0.149,0.739,0.492,0.226,0.346,0.119,0.036,0.504,0.257,0.239,0.437,0.297,0.243,0.222,0.464,0.536,0.106,-0.475,-0.406,-0.401,0.168,1
Q9HBF4,0.166,0.125,0.709,0.243,0.425,0.364,0.05,0.076,0.125,0.166,0.709,0.471,0.257,0.354,0.129,0.064,0.423,0.293,0.283,0.416,0.31,0.259,0.25,0.53,0.47,0.441,-0.407,-0.135,-0.322,0.013,1
P51149,0.13,0.13,0.739,0.227,0.449,0.357,0.034,0.101,0.13,0.13,0.739,0.498,0.227,0.343,0.121,0.043,0.43,0.314,0.256,0.42,0.362,0.203,0.208,0.507,0.493,0.218,-0.336,-0.275,-0.512,0.048,1
P02649,0.155,0.161,0.685,0.202,0.479,0.416,0.025,0.05,0.161,0.155,0.685,0.467,0.183,0.401,0.082,0.032,0.659,0.177,0.164,0.435,0.331,0.151,0.23,0.407,0.593,0.406,-0.442,-0.667,-0.49,0.255,1
Q6NSZ9,0.182,0.132,0.686,0.215,0.46,0.392,0.088,0.074,0.132,0.182,0.686,0.441,0.281,0.388,0.086,0.05,0.524,0.213,0.263,0.395,0.36,0.252,0.243,0.45,0.55,0.506,-0.341,-0.248,-0.228,0.15,0
Q8TEM1,0.109,0.09,0.802,0.242,0.533,0.469,0.065,0.072,0.09,0.109,0.802,0.543,0.201,0.36,0.156,0.026,0.415,0.3,0.284,0.458,0.267,0.294,0.247,0.542,0.458,-0.108,-0.698,-0.295,-0.458,0.244,1
P17844,0.156,0.119,0.725,0.215,0.456,0.384,0.05,0.088,0.119,0.156,0.725,0.44,0.261,0.366,0.111,0.039,0.425,0.267,0.308,0.396,0.327,0.244,0.226,0.503,0.497,0.419,-0.355,-0.308,-0.374,0.063,1
Q6T310,0.149,0.103,0.748,0.236,0.492,0.438,0.062,0.07,0.103,0.149,0.748,0.459,0.231,0.36,0.124,0.033,0.442,0.244,0.314,0.421,0.31,0.269,0.231,0.475,0.525,0.047,-0.474,-0.356,-0.396,0.256,0
P46783,0.218,0.109,0.673,0.145,0.503,0.418,0.091,0.091,0.109,0.218,0.673,0.448,0.333,0.303,0.067,0.036,0.527,0.2,0.273,0.376,0.339,0.267,0.206,0.442,0.558,0.328,-0.2,-0.443,-0.037,0.198,1
Q9NR97,0.12,0.106,0.774,0.232,0.452,0.366,0.036,0.105,0.106,0.12,0.774,0.492,0.245,0.319,0.142,0.034,0.417,0.281,0.302,0.422,0.32,0.25,0.179,0.451,0.549,-0.115,-0.201,-0.235,-0.486,0.044,1
Q15391,0.118,0.05,0.831,0.26,0.53,0.411,0.038,0.142,0.05,0.118,0.831,0.58,0.198,0.266,0.154,0.047,0.349,0.417,0.234,0.497,0.237,0.272,0.192,0.432,0.568,-0.741,-0.396,-0.357,-0.321,0.036,0
P62841,0.248,0.097,0.655,0.179,0.455,0.366,0.055,0.076,0.097,0.248,0.655,0.428,0.324,0.303,0.09,0.055,0.552,0.228,0.221,0.345,0.331,0.276,0.152,0.359,0.641,0.209,-0.179,-0.716,-0.047,0.123,1
P08708,0.207,0.126,0.667,0.178,0.444,0.393,0.052,0.052,0.126,0.207,0.667,0.459,0.304,0.326,0.104,0.037,0.467,0.296,0.237,0.37,0.356,0.23,0.141,0.437,0.563,0.298,-0.365,-0.705,-0.357,0.084,1
Q68DU8,0.173,0.14,0.687,0.262,0.4,0.322,0.058,0.096,0.14,0.173,0.687,0.428,0.257,0.388,0.154,0.049,0.421,0.266,0.313,0.362,0.334,0.28,0.234,0.477,0.523,0.448,-0.194,-0.2,-0.379,0.102,0
Q63HK3,0.192,0.139,0.669,0.241,0.403,0.337,0.064,0.078,0.139,0.192,0.669,0.423,0.281,0.38,0.128,0.047,0.487,0.249,0.264,0.361,0.357,0.266,0.231,0.45,0.55,0.559,-0.229,-0.3,-0.302,0.102,0
Q9ULC8,0.131,0.077,0.792,0.222,0.545,0.488,0.128,0.072,0.077,0.131,0.792,0.52,0.284,0.345,0.154,0.031,0.375,0.226,0.399,0.425,0.282,0.349,0.299,0.614,0.386,0.12,-0.594,0.0,-0.262,0.335,1
O14745,0.151,0.154,0.696,0.187,0.466,0.427,0.075,0.034,0.154,0.151,0.696,0.43,0.268,0.394,0.112,0.028,0.506,0.162,0.332,0.391,0.385,0.232,0.274,0.534,0.466,0.653,-0.505,-0.215,-0.512,0.288,1
Q9NYK1,0.133,0.096,0.771,0.236,0.459,0.37,0.044,0.104,0.096,0.133,0.771,0.503,0.253,0.301,0.134,0.044,0.435,0.282,0.283,0.422,0.331,0.255,0.177,0.443,0.557,-0.191,-0.211,-0.248,-0.404,0.065,1
Q6IV72,0.243,0.109,0.648,0.283,0.351,0.277,0.057,0.085,0.109,0.243,0.648,0.422,0.314,0.354,0.13,0.084,0.513,0.257,0.23,0.348,0.338,0.283,0.233,0.418,0.582,0.628,-0.117,-0.258,-0.067,0.002,0
O95721,0.167,0.171,0.663,0.217,0.407,0.364,0.062,0.047,0.171,0.167,0.663,0.407,0.267,0.407,0.132,0.027,0.496,0.178,0.326,0.318,0.403,0.267,0.213,0.504,0.496,0.692,-0.285,-0.319,-0.515,0.279,1
Q17RF5,0.185,0.062,0.754,0.254,0.469,0.338,0.146,0.162,0.062,0.185,0.754,0.554,0.362,0.262,0.131,0.046,0.369,0.346,0.285,0.354,0.292,0.362,0.169,0.492,0.508,-0.036,0.225,-0.098,0.115,0.107,0
Q58FF8,0.16,0.218,0.622,0.218,0.367,0.294,0.021,0.084,0.218,0.16,0.622,0.399,0.218,0.43,0.134,0.037,0.486,0.281,0.234,0.325,0.436,0.234,0.155,0.402,0.598,0.51,-0.26,-0.426,-0.688,0.032,0
Q3SY77,0.141,0.096,0.763,0.174,0.553,0.424,0.052,0.111,0.096,0.141,0.763,0.539,0.229,0.306,0.098,0.048,0.457,0.287,0.256,0.48,0.296,0.239,0.189,0.438,0.562,-0.337,-0.382,-0.292,-0.229,0.125,0
P62318,0.19,0.079,0.73,0.167,0.5,0.429,0.024,0.04,0.079,0.19,0.73,0.437,0.278,0.325,0.079,0.071,0.492,0.238,0.27,0.437,0.294,0.198,0.254,0.468,0.532,0.432,-0.624,-0.57,-0.246,-0.009,1
O43353,0.15,0.117,0.733,0.241,0.448,0.385,0.065,0.065,0.117,0.15,0.733,0.47,0.259,0.352,0.144,0.044,0.461,0.243,0.296,0.376,0.333,0.304,0.213,0.459,0.541,0.153,-0.314,-0.255,-0.362,0.184,1
Q8N5C8,0.122,0.076,0.802,0.333,0.42,0.378,0.135,0.055,0.076,0.122,0.802,0.451,0.306,0.399,0.185,0.044,0.393,0.218,0.389,0.278,0.382,0.417,0.242,0.559,0.441,0.399,-0.299,-0.035,-0.356,0.295,1
P62308,0.158,0.105,0.737,0.118,0.553,0.434,0.039,0.039,0.105,0.158,0.737,0.487,0.263,0.303,0.066,0.092,0.487,0.224,0.289,0.447,0.329,0.211,0.197,0.434,0.566,-0.012,-0.551,-0.404,-0.279,0.047,1
P0CG47,0.157,0.144,0.699,0.227,0.445,0.406,0.039,0.039,0.144,0.157,0.699,0.463,0.223,0.432,0.131,0.017,0.472,0.279,0.249,0.397,0.38,0.21,0.148,0.424,0.576,0.24,-0.588,-0.675,-0.638,0.194,1
Q5TDP6,0.134,0.126,0.741,0.24,0.446,0.356,0.043,0.09,0.126,0.134,0.741,0.487,0.232,0.363,0.157,0.053,0.424,0.285,0.291,0.401,0.31,0.277,0.234,0.501,0.499,0.228,-0.379,-0.178,-0.458,0.057,0
Q5RIA9,0.127,0.17,0.704,0.205,0.456,0.413,0.03,0.046,0.17,0.127,0.704,0.476,0.2,0.413,0.129,0.028,0.453,0.281,0.266,0.428,0.359,0.21,0.182,0.471,0.529,0.222,-0.606,-0.426,-0.684,0.12,0
Q5JUX0,0.167,0.143,0.69,0.209,0.457,0.388,0.047,0.089,0.143,0.167,0.69,0.434,0.236,0.376,0.116,0.035,0.419,0.283,0.298,0.391,0.326,0.271,0.209,0.496,0.504,0.315,-0.381,-0.313,-0.354,0.125,0
Q6PB30,0.205,0.077,0.718,0.231,0.462,0.372,0.128,0.077,0.077,0.205,0.718,0.474,0.359,0.359,0.179,0.038,0.397,0.231,0.372,0.321,0.333,0.359,0.256,0.59,0.41,0.573,-0.261,-0.233,-0.039,0.237,0
Q5VZP5,0.157,0.183,0.66,0.255,0.376,0.313,0.035,0.064,0.183,0.157,0.66,0.366,0.221,0.467,0.184,0.03,0.486,0.191,0.323,0.328,0.347,0.279,0.281,0.492,0.508,0.865,-0.32,-0.256,-0.59,0.159,0
Q5GH76,0.106,0.082,0.812,0.254,0.54,0.435,0.045,0.125,0.082,0.106,0.812,0.542,0.169,0.342,0.142,0.052,0.394,0.322,0.285,0.52,0.212,0.252,0.325,0.537,0.463,-0.106,-0.572,-0.063,-0.31,0.107,0
P23284,0.176,0.125,0.699,0.13,0.542,0.435,0.037,0.102,0.125,0.176,0.699,0.486,0.241,0.347,0.097,0.028,0.398,0.31,0.292,0.486,0.319,0.19,0.227,0.514,0.486,0.13,-0.631,-0.384,-0.342,0.098,1
Q8NFH4,0.126,0.12,0.755,0.218,0.494,0.393,0.043,0.104,0.12,0.126,0.755,0.506,0.212,0.359,0.126,0.049,0.396,0.322,0.282,0.451,0.288,0.267,0.224,0.509,0.491,0.049,-0.436,-0.136,-0.331,0.031,1
